City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
155,pitimbu,-7.4706,-34.8086,27.33,81,100,4.45,BR,1684526852
156,kani keli,-12.9536,45.1033,26.59,76,5,0.77,YT,1684526852
157,gubkinskiy,64.434,76.5026,9.16,62,12,6.6,RU,1684526852
158,dalby,-27.1833,151.2667,8.36,59,0,2.13,AU,1684526702
159,kodiak,57.79,-152.4072,6.73,100,100,4.12,US,1684526852
160,acapulco de juarez,16.8634,-99.8901,31.9,66,40,7.72,MX,1684526710
161,sitka,57.0531,-135.33,11.94,82,75,2.06,US,1684526853
162,alvear,-29.0968,-56.5504,24.22,61,0,2.25,AR,1684526853
163,touros,-5.1989,-35.4608,25.75,87,100,4.97,BR,1684526853
164,constitucion,-35.3333,-72.4167,16.23,57,0,6.34,CL,1684526853
165,bandar lampung,-5.4254,105.258,23.24,92,66,0.41,ID,1684526853
166,malax,62.9423,21.5731,11.23,62,0,1.54,FI,1684526854
167,paysandu,-32.3214,-58.0756,21.45,56,64,1.37,UY,1684526854
168,san luis del palmar,-27.5079,-58.5545,27.93,49,0,2.65,AR,1684526854
169,san antonio de pale,-1.4014,5.6325,27.13,77,100,7.84,GQ,1684526854
170,hamilton,39.1834,-84.5333,27.82,55,0,6.69,US,1684526668
171,st. john's,47.5649,-52.7093,13.66,37,75,13.38,CA,1684526639
172,norilsk,69.3535,88.2027,2.62,100,100,3.02,RU,1684526854
173,dolores,-36.3132,-57.6792,15.61,62,100,2.52,AR,1684526854
174,cova figueira,14.8905,-24.2934,21.18,76,30,6.19,CV,1684526855
175,san patricio,28.017,-97.5169,32.4,65,100,5.54,US,1684526855
176,grass valley,39.2191,-121.0611,28.59,42,0,2.57,US,1684526617
177,chetwayi,10.5333,76.05,26.8,83,96,2.52,IN,1684526855
178,mount gambier,-37.8333,140.7667,8.76,95,98,2.09,AU,1684526855
179,waspan,14.7419,-83.9717,36.88,36,59,5.07,NI,1684526855
180,leh,34.1667,77.5833,6.15,45,68,2.42,IN,1684526855
181,flying fish cove,-10.4217,105.6791,25.82,83,75,4.63,CX,1684526856
182,ust-nera,64.5667,143.2,2.05,72,14,0.5,RU,1684526856
183,fada,9.5667,8.3,23.6,74,100,1.24,NG,1684526856
184,lerwick,60.1545,-1.1494,10.0,87,10,6.71,GB,1684526856
185,soio,-6.1349,12.3689,25.01,85,99,3.87,AO,1684526856
186,vinh long,10.25,105.9667,25.99,83,98,2.79,VN,1684526856
187,trujillo,-8.116,-79.03,24.98,73,69,6.17,PE,1684526856
188,iskateley,67.6803,53.1512,0.38,83,9,2.73,RU,1684526857
189,quartu sant'elena,39.2419,9.1839,17.78,71,40,4.12,IT,1684526857
190,brisas de zicatela,15.8369,-97.0419,34.29,62,40,4.12,MX,1684526854
191,kyongsong,41.5878,129.6061,10.45,69,76,0.62,KP,1684526857
192,sao vicente,-23.9631,-46.3919,23.88,26,0,0.89,BR,1684526857
193,alice springs,-23.7,133.8833,2.75,81,0,3.27,AU,1684526857
194,kibre mengist,5.8833,38.9833,16.43,83,85,0.71,ET,1684526857
195,punta arenas,-53.15,-70.9167,6.06,75,0,8.75,CL,1684526817
196,poronaysk,49.2167,143.1167,4.33,90,96,3.27,RU,1684526857
197,rio verde de mato grosso,-18.9181,-54.8442,26.79,51,0,2.06,BR,1684526857
198,nizhneangarsk,55.7833,109.55,2.09,83,84,3.07,RU,1684526857
199,illizi,26.4833,8.4667,31.28,4,84,9.46,DZ,1684526858
200,mount isa,-20.7333,139.5,9.87,46,0,3.6,AU,1684526858
201,georgetown,5.4112,100.3354,25.96,89,20,0.0,MY,1684526858
202,colonia,50.9333,6.95,16.83,51,0,2.06,DE,1684526828
203,hermanus,-34.4187,19.2345,10.45,73,100,4.49,ZA,1684526858
204,chernyshevskiy,63.0128,112.4714,2.56,80,100,3.63,RU,1684526858
205,ponta delgada,37.7333,-25.6667,18.4,77,20,6.17,PT,1684526858
206,sant'ambrogio di valpollicella,45.5209,10.8362,14.9,95,75,2.06,IT,1684526858
207,wynyard,-41.0,145.7167,5.54,86,95,2.42,AU,1684526858
208,island harbour,50.724,-1.2758,15.04,86,33,3.34,GB,1684526859
209,boali,4.8005,18.1275,23.67,86,100,1.71,CF,1684526859
210,tazacorte,28.629,-17.9293,20.54,82,75,5.66,ES,1684526859
211,gaspe,48.8334,-64.4819,19.12,24,100,2.57,CA,1684526738
212,kill devil hills,36.0307,-75.676,19.01,93,100,3.6,US,1684526572
213,saldanha,-33.0117,17.9442,13.81,78,16,2.49,ZA,1684526859
214,uturoa,-16.7333,-151.4333,27.76,75,0,5.08,PF,1684526859
215,kasongo-lunda,-6.4667,16.8167,21.84,98,100,1.26,CD,1684526859
216,outjo,-20.1167,16.15,16.4,22,0,2.81,NA,1684526859
217,novyy urgal,51.0736,132.5642,4.96,82,34,2.23,RU,1684526860
218,hazard,37.2495,-83.1932,27.83,63,92,1.19,US,1684526860
219,kasongo,-4.45,26.6667,23.65,73,58,0.72,CD,1684526860
220,ad dilam,23.9915,47.1627,30.26,29,100,5.39,SA,1684526860
221,afaahiti,-17.75,-149.2833,28.93,80,18,5.93,PF,1684526860
222,arkadelphia,34.1209,-93.0538,28.44,65,75,0.0,US,1684526573
223,yambio,4.5721,28.3955,22.23,83,99,1.12,SS,1684526860
224,tulun,54.5611,100.5792,5.19,64,100,4.01,RU,1684526860
225,bikenibeu village,1.3673,173.1241,29.98,79,20,2.57,KI,1684526860
226,ulladulla,-35.35,150.4667,7.34,76,2,2.66,AU,1684526860
227,hammerfest,70.6634,23.6821,7.25,100,75,3.09,NO,1684526861
228,sumbawa besar,-8.5,117.4333,21.46,93,100,2.22,ID,1684526861
229,ambovombe,-25.1667,46.0833,19.82,78,6,2.26,MG,1684526861
230,bamboo flat,11.7,92.7167,28.05,83,20,1.03,IN,1684526861
231,dali,25.7,100.1833,14.57,87,17,2.15,CN,1684526861
232,yamada,39.4667,141.95,11.76,98,100,3.23,JP,1684526861
233,priozersk,61.0393,30.1291,6.16,88,24,2.68,RU,1684526861
234,ola,59.5833,151.2833,3.37,95,100,6.91,RU,1684526861
235,kota kinabalu,5.9749,116.0724,25.99,89,20,1.54,MY,1684526861
236,leava,-14.3,-178.1667,28.68,78,71,2.29,WF,1684526862
237,sinabang,2.4803,96.3801,26.89,81,95,2.1,ID,1684526862
238,colonia menno,-22.3667,-59.8167,32.16,32,70,6.56,PY,1684526862
239,beau vallon,-20.4189,57.6953,24.56,88,20,0.0,MU,1684526862
240,bouca,6.5105,18.2733,23.9,78,100,1.52,CF,1684526862
241,balkanabat,39.5108,54.3671,25.68,29,4,1.89,TM,1684526862
242,hajnowka,52.7433,23.5812,12.23,95,97,0.45,PL,1684526862
243,antigonish,45.6169,-61.9986,16.01,36,12,4.47,CA,1684526680
244,alapli,41.1694,31.3792,13.3,93,70,2.23,TR,1684526776
245,kolonia,50.9333,6.95,16.83,51,0,2.06,DE,1684526680
246,al mayadin,35.0209,40.4535,23.91,37,56,0.9,SY,1684526863
247,taltal,-25.4,-70.4833,18.22,75,100,2.7,CL,1684526863
248,rongelap,11.1635,166.8941,27.23,81,84,5.4,MH,1684526863
249,mossel bay,-34.1831,22.146,13.79,74,30,2.44,ZA,1684526863
250,nogliki,51.8333,143.1667,1.4,86,25,1.0,RU,1684526863
251,happy valley-goose bay,53.3168,-60.3315,13.03,44,100,6.89,CA,1684526863
252,haiku-pauwela,20.9219,-156.3051,25.02,83,100,3.6,US,1684526863
253,badger,64.8,-147.5333,21.67,26,20,4.63,US,1684526864
254,kurumkan,54.3,110.3,5.12,80,100,0.59,RU,1684526864
255,bullsbrook,-31.6667,116.0,13.93,67,0,4.71,AU,1684526864
256,banket,-17.3833,30.4,17.16,38,2,1.2,ZW,1684526864
257,susuman,62.7833,148.1667,1.4,94,100,0.9,RU,1684526864
258,atafu village,-8.5421,-172.5159,29.05,73,12,7.98,TK,1684526864
259,salinas,36.6777,-121.6555,28.09,69,0,7.2,US,1684526720
260,callao,-12.0667,-77.15,24.29,68,100,7.72,PE,1684526864
261,rajpipla,21.8667,73.5,30.15,57,0,5.25,IN,1684526864
262,fort bragg,35.139,-79.006,20.08,96,100,7.72,US,1684526864
263,codrington,-38.2667,141.9667,9.08,93,100,3.37,AU,1684526865
264,luderitz,-26.6481,15.1594,13.28,56,0,5.66,NA,1684526865
265,dogondoutchi,13.6393,4.0287,36.67,28,96,5.24,NE,1684526865
266,ilmajoki,62.7333,22.5667,11.04,62,0,0.51,FI,1684526865
267,fuengirola,36.54,-4.6247,18.25,82,75,4.12,ES,1684526865
268,calvinia,-31.4707,19.776,7.89,39,81,0.73,ZA,1684526865
269,pangody,65.85,74.4859,9.83,59,18,6.7,RU,1684526865
270,quellon,-43.1167,-73.6167,9.14,71,75,1.03,CL,1684526865
271,howrah,22.5892,88.3103,27.0,74,40,2.57,IN,1684526574
272,puerto carreno,6.189,-67.4859,31.55,61,100,2.32,CO,1684526865
273,santa terezinha,-29.9002,-50.0904,19.5,79,83,3.37,BR,1684526865
274,fale old settlement,-9.3852,-171.2468,28.93,77,14,7.07,TK,1684526866
275,petrozavodsk,61.7849,34.3469,5.39,73,8,1.73,RU,1684526866
276,daru,-9.0763,143.2092,25.4,75,100,5.34,PG,1684526866
277,wake village,33.4268,-94.1063,33.06,50,20,3.09,US,1684526866
278,dubbo,-32.25,148.6167,-0.93,100,5,0.0,AU,1684526866
279,palikir - national government center,6.9248,158.1611,25.41,94,75,0.0,FM,1684526866
